@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.595875,-122.310875,45.23, 45.70,5, Y 
47.693523,-122.312164,49.46, 50.01,9, Y 
47.689114,-122.34452,50.91, 51.08,12, Y 
47.679413,-122.28501,44.43, 44.40,9, Y 
47.70034,-122.31221,47.43, 48.28,7, Y 
47.561104,-122.30509,50.30, 51.78,6, Y 
47.606167,-122.306335,51.47, 54.77,12, Y 
47.684753,-122.33936,52.28, 54.28,12, Y 
47.55208,-122.319756,44.29, 43.80,8, Y 
47.60912,-122.32802,44.44, 43.63,8, Y 
47.729557,-122.3437,50.26, 51.51,10, Y 
47.62311,-122.31676,49.40, 50.78,9, Y 
47.705082,-122.35545,44.12, 43.98,7, Y 
47.62093,-122.35348,50.60, 52.80,11, Y 
47.579304,-122.385254,45.76, 46.81,12, Y 
47.61412,-122.314224,44.62, 44.78,2, Y 
47.54696,-122.376396,44.62, 44.65,1, Y 
47.702396,-122.36075,43.88, 42.69,9, Y 
47.72321,-122.342285,45.07, 44.07,11, Y 
47.64777,-122.3545,44.80, 45.37,6, Y 
47.54267,-122.29949,44.90, 44.77,7, Y 
47.643837,-122.38464,43.41, 43.97,12, Y 
47.595825,-122.32029,46.05, 45.79,6, Y 
47.571396,-122.32275,45.41, 45.00,7, Y 
47.623943,-122.360634,44.93, 45.01,7, Y 
47.61404,-122.34566,44.54, 44.54,9, Y 
47.56433,-122.3135,44.22, 44.57,10, Y 
47.57114,-122.34455,45.75, 44.50,9, Y 
47.626198,-122.282845,44.17, 44.85,10, Y 
47.705048,-122.344696,44.84, 45.00,6, Y 
47.538914,-122.293755,45.90, 47.33,12, Y 
47.61849,-122.33073,45.93, 47.57,12, Y 
47.668655,-122.361694,49.05, 50.70,1, Y 
47.654438,-122.37622,44.22, 42.38,8, Y 
47.58831,-122.29805,45.80, 45.91,7, Y 
47.54652,-122.30595,43.61, 42.02,8, Y 
47.670914,-122.38759,46.23, 44.09,9, Y 
47.595154,-122.30967,43.86, 42.23,8, Y 
47.648994,-122.30459,46.75, 43.88,9, Y 
47.70863,-122.328636,53.89, 53.84,11, Y 
47.674603,-122.33459,50.13, 50.76,12, Y 
47.596676,-122.32637,49.95, 52.61,11, Y 
47.608818,-122.34002,48.24, 50.75,12, Y 
47.52969,-122.28783,48.64, 50.01,12, Y 
47.561104,-122.38678,49.48, 49.03,11, Y 
47.633766,-122.29792,49.60, 50.46,12, Y 
47.684162,-122.37144,51.78, 54.86,3, Y 
47.52103,-122.35846,50.60, 52.47,11, Y 
47.53604,-122.3613,48.36, 48.80,7, Y 
47.606552,-122.3318,49.16, 51.24,5, Y 
47.543766,-122.375114,49.58, 50.67,12, Y 
47.603516,-122.33669,49.49, 52.62,10, Y 
47.57148,-122.346375,53.00, 52.75,12, Y 
47.645172,-122.39024,52.99, 56.38,12, Y 
47.59928,-122.30224,50.28, 52.21,10, Y 
47.66944,-122.3749,51.92, 52.43,10, Y 
47.599228,-122.31093,51.45, 56.06,12, Y 
47.648457,-122.38198,48.69, 50.72,6, Y 
47.70149,-122.36073,47.58, 48.79,7, Y 
47.57988,-122.33912,50.10, 50.89,6, Y 
47.57835,-122.29816,51.14, 52.13,9, Y 
47.522816,-122.26999,70.57, 80.24,4, Y 
47.568363,-122.37877,46.91, 46.51,11, Y 
47.649464,-122.37634,46.60, 45.52,8, Y 
47.693108,-122.31896,54.23, 54.44,10, Y 
47.56989,-122.334206,51.46, 51.80,9, Y 
47.54337,-122.26436,31.58, 30.51,2, Y 
47.614666,-122.31946,52.18, 53.84,10, Y 
47.583656,-122.3022,60.84, 66.95,12, Y 
47.59154,-122.31484,53.68, 56.31,11, Y 
47.5998,-122.30224,53.21, 56.56,12, Y 
47.690586,-122.35261,54.14, 56.26,12, Y 
47.664917,-122.31524,54.91, 55.96,11, Y 
47.611168,-122.32076,52.42, 55.27,2, Y 
47.546696,-122.32959,47.20, 47.73,6, Y 
47.579807,-122.329056,47.70, 48.61,9, Y 
47.68277,-122.34449,52.20, 53.85,1, Y 
47.66305,-122.30722,49.11, 51.05,10, Y 
47.65946,-122.319786,49.67, 51.18,7, Y 
47.60398,-122.33559,50.12, 51.56,7, Y 
47.535404,-122.28065,50.81, 53.18,12, Y 
47.659428,-122.390945,49.89, 51.09,7, Y 
47.55345,-122.31614,49.94, 51.86,10, Y 
47.60416,-122.32808,50.05, 51.50,7, Y 
47.55211,-122.38704,49.96, 50.84,10, Y 
47.598763,-122.31722,49.22, 51.71,11, Y 
47.571133,-122.35688,48.27, 47.40,10, Y 
47.55335,-122.32101,47.02, 47.63,9, Y 
47.53865,-122.32063,47.01, 47.61,9, Y 
47.533882,-122.298294,47.32, 46.84,7, Y 
47.69484,-122.30561,46.83, 47.33,8, Y 
47.624268,-122.320946,48.21, 50.43,2, Y 
47.62256,-122.320915,52.73, 54.65,1, Y 
47.610897,-122.345535,47.00, 47.03,7, Y 
47.534145,-122.33214,47.41, 47.99,6, Y 
47.578346,-122.29619,47.97, 50.25,3, Y 
47.61996,-122.31391,47.52, 47.55,10, Y 
47.67479,-122.306526,47.63, 47.45,10, Y 
47.666267,-122.300606,48.12, 51.28,12, Y 
47.531883,-122.366516,50.07, 51.46,11, Y 
47.545334,-122.32959,48.39, 49.65,11, Y 
47.574383,-122.32906,48.08, 51.15,12, Y 
47.61568,-122.33018,48.34, 51.20,2, Y 
47.60169,-122.314926,48.53, 48.59,8, Y 
47.618607,-122.35736,48.91, 49.39,12, Y 
47.608643,-122.326805,46.83, 47.65,6, Y 
47.569916,-122.36219,47.81, 48.00,7, Y 
47.59924,-122.30897,46.72, 47.40,6, Y 
47.58617,-122.32906,47.06, 47.84,8, Y 
47.53704,-122.281296,47.66, 48.62,9, Y 
47.61917,-122.30254,47.52, 48.56,9, Y 
47.610394,-122.31678,47.41, 48.63,9, Y 
47.539783,-122.278076,47.66, 48.61,9, Y 
47.65982,-122.31548,46.73, 47.58,8, Y 
47.684155,-122.32935,48.48, 51.22,11, Y 
47.585484,-122.30032,48.12, 51.37,12, Y 
47.55192,-122.278076,48.38, 50.56,2, Y 
47.579895,-122.35549,47.82, 47.63,8, Y 
47.66146,-122.36617,63.99, 74.67,12, Y 
47.599995,-122.30636,48.70, 48.70,8, Y 
47.57157,-122.36511,47.49, 47.72,6, Y 
47.616943,-122.33272,46.98, 47.76,6, Y 
47.665035,-122.34021,45.87, 47.09,7, Y 
47.561756,-122.287544,48.87, 49.50,12, Y 
47.622597,-122.31264,46.62, 47.43,8, Y 
47.614697,-122.34875,46.40, 47.35,7, Y 
47.60534,-122.33941,47.29, 47.74,10, Y 
47.60245,-122.33689,47.11, 47.99,8, Y 
47.70856,-122.317856,46.85, 47.11,10, Y 
47.526478,-122.3282,46.61, 47.39,7, Y 
47.547356,-122.32015,48.96, 49.69,12, Y 
47.548187,-122.27686,46.81, 47.45,9, Y 
47.66137,-122.33016,48.69, 49.28,12, Y 
47.628475,-122.34754,48.73, 49.36,12, Y 
47.639725,-122.32346,49.03, 48.96,8, Y 
47.559635,-122.30439,48.63, 48.93,6, Y 
47.62766,-122.36982,48.32, 47.95,7, Y 
47.520557,-122.26999,49.44, 49.46,9, Y 
47.66569,-122.3674,50.06, 50.77,10, Y 
47.612606,-122.345215,48.42, 49.07,6, Y 
47.56466,-122.35281,51.08, 51.96,11, Y 
47.624573,-122.3541,49.48, 51.13,12, Y 
47.61789,-122.33035,49.30, 49.63,9, Y 
47.6068,-122.333565,49.09, 51.70,12, Y 
47.526463,-122.322914,49.60, 51.08,12, Y 
47.675774,-122.30274,50.10, 49.75,8, Y 
47.537952,-122.36109,50.85, 50.58,6, Y 
